Date	Rain	Temperature	MaxTemp	MinTemp	Exposure
22/12/2008	1	15.25	22.8	7.7	32.3
23/12/2008	0	16.55	22.3	10.8	32.5
24/12/2008	0	16.15	23.1	9.2	33.4
25/12/2008	0	16.05	22.9	9.2	30
26/12/2008	0	16.25	23	9.5	34.1
27/12/2008	0.2	20.75	25.5	16	25.6
28/12/2008	1.8	20.35	26.2	14.5	33.1
29/12/2008	0	18.70	26.5	10.9	33.9
30/12/2008	0	21.10	29.6	12.6	33.3
31/12/2008	0	19.90	26	13.8	32.3
1/01/2009	0	21.10	30.2	12	33.6
2/01/2009	0	24.60	35	14.2	33.5
3/01/2009	0	21.50	25.5	17.5	33.8
4/01/2009	0	22.45	29.4	15.5	33.2
5/01/2009	0	21.80	29.4	14.2	33.3
6/01/2009	0	21.25	25.7	16.8	29.6
7/01/2009	0	20.45	28.1	12.8	34.3
8/01/2009	0	20.70	29.5	11.9	33.8
9/01/2009	0	21.15	29	13.3	33.7
10/01/2009	0	21.50	27	16	32.9
11/01/2009	0	24.75	33.5	16	33.6
12/01/2009	0	18.45	22.5	14.4	15.5
13/01/2009	1.6	16.55	21.9	11.2	25.8
14/01/2009	0	18.30	24.6	12	27.8
15/01/2009	0	22.85	32.5	13.2	33.7
16/01/2009	0	28.15	38.9	17.4	32.7
17/01/2009	0	20.75	25.6	15.9	24.2
18/01/2009	0	17.75	19.9	15.6	11.3
19/01/2009	0	16.75	22.8	10.7	29.4
20/01/2009	0	17.25	23.9	10.6	18.1
21/01/2009	0	19.65	24.1	15.2	24.3
22/01/2009	2.6	20.35	24.4	16.3	24.5
23/01/2009	1	20.70	24	17.4	29.9
24/01/2009	0.8	19.00	27	11	33
25/01/2009	0.1	23.50	30.5	16.5	29.5
26/01/2009	0	20.60	26.2	15	25.1
27/01/2009	0	17.90	23.3	12.5	18.7
28/01/2009	0	17.60	19.8	15.4	7.2
29/01/2009	0	18.95	23.4	14.5	23.1
30/01/2009	0	16.55	21.8	11.3	14.7
31/01/2009	0	24.25	32	16.5	27.9
1/02/2009	0	26.75	33.5	20	29.5
2/02/2009	0	27.80	35.6	20	28.7
3/02/2009	0.6	22.35	25.6	19.1	21.1
4/02/2009	1.4	18.80	22.7	14.9	22.2
5/02/2009	0	16.00	23.6	8.4	25.2
6/02/2009	0	16.50	21.1	11.9	19.1
7/02/2009	0	17.40	21	13.8	22
8/02/2009	0	20.25	27.3	13.2	30
9/02/2009	0	20.85	29.6	12.1	30.2
10/02/2009	0	22.40	29.7	15.1	24
11/02/2009	0	26.60	36.7	16.5	29.7
12/02/2009	0	23.40	28.7	18.1	11
13/02/2009	0.8	16.90	19.7	14.1	11.3
14/02/2009	0.5	22.40	30.6	14.2	18.4
15/02/2009	0	23.50	30.9	16.1	27.1
16/02/2009	0	20.15	24	16.3	19.6
17/02/2009	0	18.10	22.4	13.8	28.5
18/02/2009	0.1	18.55	25	12.1	28.5
19/02/2009	0	18.80	27.1	10.5	28.5
20/02/2009	0	21.45	31.4	11.5	28.5
21/02/2009	0	24.50	33.9	15.1	21.1
22/02/2009	0	18.40	22.1	14.7	22
23/02/2009	0	19.55	29.8	9.3	25.8
24/02/2009	0	17.95	22.5	13.4	10.3
25/02/2009	0	15.25	17.4	13.1	8
26/02/2009	11.2	14.35	19.5	9.2	10.4
27/02/2009	0.2	16.20	23.5	8.9	23.2
28/02/2009	0	18.65	24.5	12.8	23.8
1/03/2009	0	20.25	25.8	14.7	5.6
2/03/2009	13.6	15.55	16.4	14.7	17.4
3/03/2009	1	21.75	32.8	10.7	22.3
4/03/2009	0.2	20.45	32.8	8.1	25.2
5/03/2009	0	21.85	32.8	10.9	26.7
6/03/2009	0	22.70	32.8	12.6	25.3
7/03/2009	0	21.75	32.8	10.7	25.1
8/03/2009	0	22.90	32.8	13	16.5
9/03/2009	0	23.70	32.8	14.6	24.6
10/03/2009	0	24.80	35.9	13.7	24.4
