NestID	Cohort	Helpers	Size	Date
152	2010	0	0.311042006	8/11/2010
153	2010	1	-1.830082117	8/12/2010
153	2010	1	-0.901956213	8/12/2010
153	2010	1	-0.501560257	8/12/2010
154	2010	0	-0.886639056	16/11/2010
154	2010	0	-1.171511373	16/11/2010
154	2010	0	-1.210019252	16/11/2010
155	2010	2	1.135024642	1/12/2010
155	2010	2	0.626588099	1/12/2010
155	2010	2	1.177469306	1/12/2010
156	2010	1	0.961600647	15/10/2010
156	2010	1	1.004045311	15/10/2010
157	2010	1	-0.093754114	24/11/2010
157	2010	1	-0.243848848	24/11/2010
157	2010	1	0.083468132	24/11/2010
158	2010	1	0.503118026	23/11/2010
158	2010	1	0.580133787	23/11/2010
159	2010	0	0.753882626	5/11/2010
160	2010	1	-1.135606601	17/11/2010
160	2010	1	-0.985511865	17/11/2010
160	2010	1	-1.582384004	17/11/2010
161	2010	0	-1.040670577	15/12/2010
161	2010	0	-0.347528737	15/12/2010
162	2010	2	0.422628862	27/10/2010
163	2010	2	0.888196826	8/11/2010
163	2010	2	1.408053206	8/11/2010
163	2010	2	1.065419072	8/11/2010
164	2010	0	0.015693014	8/11/2010
164	2010	0	-0.709416813	8/11/2010
164	2010	0	-0.674845717	8/11/2010
165	2010	1	0.488173033	4/11/2010
166	2010	1	0.460998208	4/11/2010
167	2011	0	-0.686689468	14/01/2012
168	2011	0	-0.039465697	14/11/2011
168	2011	0	-0.309020857	14/11/2011
168	2011	0	-0.251259037	14/11/2011
169	2011	0	0.210835523	17/11/2011
169	2011	0	0.368803826	27/11/2011
170	2011	0	-3.918514651	25/10/2011
170	2011	0	-4.049355446	25/10/2011
170	2011	0	-4.049355446	25/10/2011
171	2011	0	0.002978967	18/11/2011
172	2011	1	0.272070746	5/11/2011
172	2011	1	0.853625731	5/11/2011
173	2011	0	-0.055246233	24/11/2011
174	2011	0	-2.924671284	24/10/2011
174	2011	0	-2.924671284	24/10/2011
174	2011	0	-2.793830489	24/10/2011
175	2011	1	-2.215160916	14/11/2011
