"Date","Rain","Temp"
"20/08/1979",2.41,15.4
"21/08/1979",0.77,15.1
"22/08/1979",1.88,12.8
"23/08/1979",7.26,11.3
"24/08/1979",2.1,12.1
"25/08/1979",1.89,11.9
"26/08/1979",0.32,13.4
"27/08/1979",0.04,12.6
"28/08/1979",0,13
"29/08/1979",0,13.9
"30/08/1979",0,16.3
"31/08/1979",0.1,15.9
"1/09/1979",7.72,17.7
"2/09/1979",3.28,15.9
"3/09/1979",0.28,14.7
"4/09/1979",0,16.1
"5/09/1979",0,15.9
"6/09/1979",0.08,16.5
"7/09/1979",0.26,14.8
"8/09/1979",2.01,15.4
"9/09/1979",0.08,16.2
"10/09/1979",0.01,15.2
"11/09/1979",0.36,15.2
"12/09/1979",0.19,14.6
"13/09/1979",0.07,14
"14/09/1979",0.12,11.2
"15/09/1979",0,9.7
"16/09/1979",0.79,11.7
"17/09/1979",1.74,14.5
"18/09/1979",3.23,15.8
"19/09/1979",6.94,16.1
"20/09/1979",1.23,12.1
"21/09/1979",1.86,10.1
"22/09/1979",0.65,7.5
"23/09/1979",1.34,9.6
"24/09/1979",0.48,10.1
"25/09/1979",2.46,12.5
"26/09/1979",4.2,15.9
"27/09/1979",0,12.9
"28/09/1979",0,10.4
"29/09/1979",0,10.2
"30/09/1979",0.43,11.4
"1/10/1979",0.82,13.3
"2/10/1979",1.2,12.2
"3/10/1979",6.6,13.8
"4/10/1979",0.8,14.6
"5/10/1979",0,10.8
"6/10/1979",5.63,10.5
"7/10/1979",0.93,14.8
"8/10/1979",4.1,15.2
"9/10/1979",7.05,17.3
"10/10/1979",5.77,13.9
"11/10/1979",0.7,13.3
"12/10/1979",4.71,14
"13/10/1979",6.49,13.7
"14/10/1979",0.8,11.9
"15/10/1979",1.2,11.7
"16/10/1979",0.15,11.4
"17/10/1979",2.16,10.5
"18/10/1979",0.46,11.6
"19/10/1979",1.08,12.2
"20/10/1979",0.02,10.2
"21/10/1979",0.32,8.9
"22/10/1979",2.68,8.8
"23/10/1979",1.57,8.4
"24/10/1979",6.88,8.2
"25/10/1979",13.93,10
"26/10/1979",1.34,10.6
"27/10/1979",0,6.4
"28/10/1979",0.96,5.7
"29/10/1979",1.32,7.8
"30/10/1979",6.66,8.8
"31/10/1979",1.96,10.8
"1/11/1979",0.3,9
"2/11/1979",8.17,7.8
"3/11/1979",5.17,11.2
"4/11/1979",3.95,11.4
"5/11/1979",5.1,8.9
"6/11/1979",3.5,9.6
"7/11/1979",8.45,9.1
"8/11/1979",3.21,6.6
"9/11/1979",1.42,5
"10/11/1979",1.04,4.4
"11/11/1979",9.92,5.9
"12/11/1979",0.2,4.2
"13/11/1979",5.74,0.2
"14/11/1979",5.92,1.8
"15/11/1979",5.33,4.2
"16/11/1979",0.71,4.7
"17/11/1979",3.17,4.1
"18/11/1979",0.95,5.9
"19/11/1979",0.1,7.2
"20/11/1979",0.06,2.1
"21/11/1979",0.46,3.1
"22/11/1979",1.68,5.4
"23/11/1979",1.62,8.7
"24/11/1979",2.32,4.8
"25/11/1979",5.74,8
"26/11/1979",7.59,10.5
"27/11/1979",0.28,9.6
"28/11/1979",0.19,10.4
"29/11/1979",0.7,9.5
"30/11/1979",0.72,10.6
"1/12/1979",0.65,11
"2/12/1979",2.95,10.9
"3/12/1979",2.67,9.4
"4/12/1979",7.42,10
"5/12/1979",3.14,10.2
"6/12/1979",2.27,8.9
"7/12/1979",3.86,10.1
"8/12/1979",7.02,10.1
"9/12/1979",15.19,9.7
"10/12/1979",9.87,8.9
"11/12/1979",1.91,6.7
"12/12/1979",8.61,6.1
"13/12/1979",17.74,6.4
"14/12/1979",9.97,6.1
"15/12/1979",1.87,5.8
"16/12/1979",1.43,6.6
"17/12/1979",2.54,5.5
"18/12/1979",3.55,5
"19/12/1979",0.95,3.2
"20/12/1979",0.44,2.5
"21/12/1979",0.67,1.8
"22/12/1979",0.63,-0.2
"23/12/1979",1.58,1.6
"24/12/1979",0.04,2.2
"25/12/1979",1.42,0.9
"26/12/1979",16.44,2.6
"27/12/1979",28.17,7.1
"28/12/1979",3.64,4.4
"29/12/1979",2.01,2.7
"30/12/1979",0.38,2.7
"31/12/1979",0.08,1.6
